task_id,exam_type,exam_date,task_no,task_text,cluster_id,cluster_label,outlier_score,pdf,page,points,time_est,efficiency,difficulty_guess,type,frequency_score,concepts,snippet,centroid_outlier_score
MI|2025-11-28|1,MI,2025-11-28,1,"RJEŠENJA UPISATI NA OVOME PAPIRU 

 
Za funkciju f odredite, ako je moguće, vrijeme izvođenja u Θ notaciji, a ako nije moguće, odredite vrijeme izvođenja u 
O i Ω notaciji. Rješenje upišite u pravokutnik pored zadataka.",9,Složenost algoritama,0.027299142,MI_svi_do_2026.pdf,1.0,5.0,10.0,0.5,2.0,detail,6.0,complexity|queue,Zadatak 1. (5 bodova) – RJEŠENJA UPISATI NA OVOME PAPIRU...,0.07692307692307693
MI|2025-11-28|2,MI,2025-11-28,2,"Potrebno je implementirati metode Count, Reverse i RemoveLast jednostruko povezane linearne liste 
implementirane pokazivačima. Lista treba biti ostvarena korištenjem predložaka (eng. templates). Metoda Count broji 
i vraća ukupan broj elemenata u listi, metoda Reverse obrće redoslijed elemenata u listi (zadnji element postaje glava, 
drugi predzadnji itd.), a metoda RemoveLast uklanja zadnji element liste i vraća njegovu vrijednost. Atom liste 
ListElement i prototipovi funkcija zadani su odsječcima koda u nastavku. 
Nije dozvoljeno koristiti ili implementirati druge metode osim zadanih. 
 
int f(int n) { 
 
if (n <= 0) 
 
 return 1; 
 
else 
 
 return f(n / 4) * 2; 
} 
Rješenje: 
 
template<typename T> 
class ListElement{ 
 public: 
 T i; 
 ListElement<T>* next; 
}; 
template<typename T> 
class MyList{ 
 private: 
 ListElement<T> *head; 
 public: 
 int Count(){ // vaš kod za Count } 
 void Reverse(){ // vaš kod za Reverse } 
 T RemoveLast(){ // vaš kod za RemoveLast } 
}; 
 
Primjer liste prije i nakon funkcije Reverse: 
• 
Prije: 1 -> 2 -> 3 -> 4 -> 5 
 ^ glava liste 
• 
Nakon: 5 -> 4 -> 3 -> 2 -> 1 
 ^ glava liste 

 
Napisati rekurzivnu funkciju koja mijenja poredak elemenata u izvorišnom redu (q) na način da nakon njenog 
izvršavanja elementi budu uređeni silazno po veličini. Funkcija mora imati prototip: 
template<typename T> 
void reorder_by_size(Queue<T>& q); 
Red q je adekvatno stvoren i inicijaliziran prije poziva funkcije, te ga se u funkciji može koristiti. Pri radu sa redom 
Queue<T> dozvoljeno je koristiti samo funkcije enqueue i dequeue: 
Prilikom izrade funkcije reorder_by_size, dozvoljeno je pretpostaviti da će red sadržavati barem jedan element. 
Dozvoljeno je koristiti pomoćne redove ili polja. 
Nije dozvoljeno korištenje ni pomoćnih funkcija niti članskih varijabli koje se koriste za implementaciju reda!",3,Vezana lista,0.089165196,MI_svi_do_2026.pdf,1.0,10.0,30.0,0.3333333333,3.0,core,6.0,linked_list|queue,Zadatak 2. (10 bodova) Potrebno je implementirati metode Count...,0.22857142857142856
MI|2025-11-28|4,MI,2025-11-28,4,"U cjelobrojnom polju pohranjen je sljedeći niz brojeva: 
5, 8, 5, 2, 7, 4, 8, 9 
Ilustrirajte uzlazno sortiranje algoritmom Shell sort uz korake k = 5, 3, 1. Ispišite polje nakon svake promjene i 
podcrtajte sve brojeve relevantne za sljedeći korak.",0,Sortiranje,0.072271705,MI_svi_do_2026.pdf,2.0,10.0,30.0,0.3333333333,1.0,core,3.0,sorting,Zadatak 4. (10 bodova) U cjelobrojnom polju pohranjen je...,0.3103448275862069
MI|2025-11-28|3,MI,2025-11-28,3,"template<typename T> 
class Queue{ 
 private: 
 // privatne članske varijable koje se ne smiju 
 // koristiti/mijenjati 
 public: 
 bool enqueue(T val){ 
 // Dodavanje u red. Vraća true ako je dodavanje 
 // uspjelo, a false inače 
 } 
 bool dequeue(T& val){ 
 // Skidanje iz reda. Vraća true ako je skidanje 
 // uspjelo, a false inače 
 } 
}; 
Primjer: 
 
Prije poziva funkcije 
• 
q = 0 2 5 3 1 4 
 ^ izlaz iz reda q 
 (varijabla read) 
 
Nakon poziva funkcije 
• 
q = 5 4 3 2 1 0 
 ^ izlaz iz reda q 
 (varijabla read) 
 
 

 
 
 
Rješenja: 
1. zadatak 
Θ(log n) (ili Θ(log-4n) 
2. zadatak 
template<typename T> 
class MyList{ 
 public: 
 MyList() { this->head = nullptr;} 
 
int Count() { 
 int cnt = 0; 
 for (ListElement<T>* p = head; p; p = p->next) { 
 cnt++; 
 } 
 return cnt; 
} 
 
 
void Reverse() { 
 
ListElement<T>* curr = head; 
 ListElement<T>* next = nullptr; 
 
ListElement<T>* prev = nullptr; 
 
 while (curr) { 
 
 
// pohrana next 
 
 
next = curr->next; 
 
// obrtanje pokazivaca 
 
 
curr->next = prev; 
 
 
 
// priprema pokazivaca za slj korak 
 
 
prev = curr; 
 
 
curr = next; 
 
} 
 
head = prev; 
 
} 
 
 
 
 
T RemoveLast() { 
 
if (!head) return; 
 
 
if (!head->next) { 
 
 
delete head; 
head = nullptr; 
 
} 
 
ListElement<T>* curr; 
 
for (curr = head; curr->next->next; curr = curr->next); 
T value = curr->next->item; 
 
delete curr->next; 
 
curr->next = nullptr; 
 
 
 
return value; 
 
} 
 
}; 
 
// alternativno RemoveLast: 
ListElement<T>* prev = head; 
ListElement<T>* curr; 
for (curr = head->next; curr->next; curr = 
curr->next) { 
 prev = curr; 
} 
 
T value = curr->item; 
delete curr; 
prev->next = nullptr; 

 
3. zadatak 
template <typename T> 
void reorder_by_size(Queue<T>& q) { 
 T el; 
 if (q.dequeue(el)) { 
 reorder_by_size(q); 
 T newEl; 
 Queue<T> q1; 
 while (q.dequeue(newEl)) { 
 q1.enqueue(newEl); 
 } 
 bool inserted = false; 
 while (q1.dequeue(newEl)) { 
 if (!inserted) { 
 if (newEl < el) { 
 q.enqueue(el); 
 inserted = true; 
 } 
 } 
 q.enqueue(newEl); 
 } 
 if (!inserted) { q.enqueue(el); } 
 } 
} 
 
 
 

 
4. zadatak 
 
korak = 5 
5 8 5 2 7 4 8 9 
5 8 5 2 7 5 8 9 
4 8 5 2 7 5 8 9 
4 8 5 2 7 5 8 9 
 
korak = 3 
4 8 5 2 7 5 8 9 
4 8 5 4 7 5 8 9 
2 8 5 4 7 5 8 9 
2 8 5 4 8 5 8 9 
2 7 5 4 8 5 8 9 
 
korak = 1 
2 7 5 4 8 5 8 9 
2 7 5 4 8 5 8 9 
2 7 7 4 8 5 8 9 
2 5 7 4 8 5 8 9 
2 5 7 7 8 5 8 9 
2 5 5 7 8 5 8 9 
2 4 5 7 8 5 8 9 
2 4 5 7 8 8 8 9 
2 4 5 7 7 8 8 9 
2 4 5 5 7 8 8 9 
2 4 5 5 7 8 8 9",2,Red,0.12817673,MI_svi_do_2026.pdf,2.0,10.0,30.0,0.3333333333,4.0,core,6.0,queue,Zadatak 3. (10 bodova) template<typename T> class Queue...,0.75
MI|2024-11-29|1,MI,2024-11-29,1,"RJEŠENJA UPISATI NA OVOME PAPIRU 

 
Za funkciju f u a) dijelu zadatka te za odsječak koda u b) dijelu zadatku odredite, ako je moguće, vrijeme izvođenja u Θ 
notaciji, a ako nije moguće, odredite vrijeme izvođenja u O i Ω notaciji. Rješenja upišite u pravokutnike pored zadataka. 
U a) dijelu zadatka polja A i B sadrže n prirodnih brojeva (|A| = n, |B| = n). Članovi polja A i B mogu, ali i ne moraju biti 
sortirani (ne znamo unaprijed).",0,Sortiranje,0.048448466,MI_svi_do_2026.pdf,6.0,10.0,30.0,0.3333333333,2.0,core,6.0,complexity|queue,Zadatak 1. (10 bodova) – RJEŠENJA UPISATI NA OVOME PAPIRU...,0.6551724137931034
MI|2024-11-29|2,MI,2024-11-29,2,"Potrebno je implementirati metodu AddUnique, Contains i Remove jednostruko povezane linearne liste 
implementirane pokazivačima. Lista treba biti ostvarena korištenjem predložaka (eng. templates). Metoda AddUnique 
dodaje novi element na kraj liste samo ako element već ne postoji, metoda Remove uklanja prvi element liste sa 
zadanom vrijednosti, a metoda Contains provjerava nalazi li se određeni element u listi. Atom liste ListElement i 
prototipovi funkcija zadani su odsječcima koda u nastavku. 
a) int f(int A[], int B[], int n) { // n >= 1, f2(A, n) = Θ(n) 
 if (n <= 10) return n * n; 
 else { 
 int z = 0; 
 for (int i = 0; i < n / 2; i++) { 
 
 
 if (A[i] == B[i]) 
 break; 
 
 else 
 z += f2(A, n - i); 
 } 
 return z; 
 } 
} 
Rješenje: 
 
b) 
 double A[N][N]; 
 for (int i = 1; i <= N; i++) { 
 for (int j = 1; j <= N; j++) 
 A[i - 1][j - 1] = g2(i, j); // g2(i, j) = Θ(max(i, j)) 
 } 
 Rješenje: 
 
 
template<typename T> 
class ListElement{ 
 public: 
 T i; 
 ListElement<T>* next; 
}; 
template<typename T> 
class MyList{ 
 private: 
 ListElement<T> *head; 
 public: 
 void AddUnique(T val){ //vaš kod za AddUnique } 
 void Remove(T val){ // vaš kod za Remove } 
 bool Contains(T val){ // vaš kod za Contains } 
};",3,Vezana lista,0.08072601,MI_svi_do_2026.pdf,6.0,10.0,30.0,0.3333333333,3.0,core,6.0,linked_list|queue,Zadatak 2. (10 bodova) Potrebno je implementirati metodu AddUnique...,0.37142857142857144
MI|2024-11-29|3,MI,2024-11-29,3,"Napisati rekurzivnu funkciju koja u zadanom izvorišnom stogu (s) uklanja sve višestruke elemente koji se pojavljuju 
zaredom na način da ih se zamjenjuje samo jednom pojavom tog istog elementa. Funkcija mora imati prototip: 
template<typename T> 
T remove_multiple(Stack<T>& s); 
Stog s je adekvatno stvoren i inicijaliziran prije poziva funkcije, te ga se u funkciji može koristiti. Pri radu sa stogom 
Stack<T> dozvoljeno je koristiti samo funkcije push i pop: 
Prilikom izrade funkcije remove_multiple, dozvoljeno je pretpostaviti da će stog sadržavati barem jedan element. 
Nije dozvoljeno je korištenje pomoćnih funkcija! Korištenje članskih varijabli koje se koriste za implementaciju stoga 
podataka nije dozvoljeno.",1,Stog,0.12136358,MI_svi_do_2026.pdf,7.0,10.0,30.0,0.3333333333,4.0,core,6.0,queue|stack,Zadatak 3. (10 bodova) Napisati rekurzivnu funkciju...,0.8571428571428571
MI|2024-11-29|4,MI,2024-11-29,4,"U cjelobrojnom polju pohranjen je sljedeći niz brojeva: 
8, 6, 5, 4, 7, 2, 3, 1 
Ilustrirajte uzlazno sortiranje algoritmom quicksort. Stožer se odabire metodom aproksimacije medijana temeljem 
prvog, srednjeg i zadnjeg člana. Zadan je cutoff = 3 nakon čega se sortira bez navođenja koraka. Potrebno je prikazati 
sadržaj polja nakon svake promjene. 
 
 
template<typename T> 
class Stack{ 
 private: 
 // privatne članske varijable koje se ne smiju 
 // koristiti/mijenjati 
 public: 
 bool push(T val){ 
 // Dodavanje na stog.Vraća true ako je dodavanje 
 // uspjelo, a false inače 
 } 
 bool pop(T& val){ 
 // Skidanje sa stoga. Vraća true ako je skidanje 
 // uspjelo, a false inače 
 } 
}; 
Primjer 1: 
• 
s = 0,1,1,4,3,3 
 ^ vrh stoga s 
• 
s= 0,1,4,3 
 ^ vrh stoga s 
Primjer 2: 
• 
s = 0,1,1,4,1,1 
 ^ vrh stoga s 
• 
s = 0,1,4,1 
 ^ vrh stoga s 
 

 
 
Rješenja: 
 
1. zadatak: 
 
a) Ω(1), O(n2) 
b) Θ(N3) 
Izračunavanje elemenata za svaki redak matrice je između Θ(N2/2) i Θ(N2), pa je za svih N redaka vrijeme 
izvođenja Θ(N3). 
 
2. Zadatak 
template<typename T> 
class MyList{ 
 public: 
 MyList() { this->head = nullptr;} 
 void AddUnique(T val){ 
 
 if (!head) { 
head = new Node<T>(val); // Add the first element if the list is empty 
 
return; 
 } 
 Node<T>* temp = head; 
 while (temp) { 
 if (temp->value == val) { 
 return; // Element already exists, do nothing 
 } 
 if (!temp->next) { 
 temp->next = new Node<T>(val); // Add the element at the end of the 
list return; 
 } 
 temp = temp->next; 
 } 
} 
 
 bool Contains(T val) { 
 for(Node<T>* tmp = head; tmp; tmp = tmp->next) { 
 if (tmp->value == value) { 
 return true; 
 } 
 } 
 return false; 
 } 
 
 bool remove(T data) { 
 ListElement<T> **p; 
 for (p = &head; *p && data != (*p)->data; p = &((*p)->next)); 
 if (*p) { 
 ListElement<T> *tmp; 
 tmp = *p; 
 *p = (*p)->next; 
 delete tmp; 
 return true; 
 } else { 
 return false; 
 } 
 } 
}; 

 
3. zadatak 
template <typename T> 
T remove_multiple(Stack<T> &s) { 
 T el1, el2; 
 s.pop(el1); 
 // check if stack is empty 
 if (!s.pop(el2)) { 
 return el2; 
 } 
 s.push(el2); 
 T prev = remove_multiple(s); 
 if (prev != el1) 
 s.push(el1); 
 return el1; 
} 
 
4. zadatak 
 
8 6 5 4 7 2 3 1 -> medijan 
1 6 5 4 7 2 3 8 -> stožer je 4 
1 6 5 3 7 2 4 8 -> skrivanje stožera 
1 6 5 3 7 2 4 8 -> pronalazak 6 i 2 za zamjenu 
1 2 5 3 7 6 4 8 -> zamijenjeni 6 i 2 
1 2 5 3 7 6 4 8 -> pronalazak 5 i 3 za zamjenu 
1 2 3 5 7 6 4 8 -> zamijenjeni 5 i 3 
1 2 3 4 7 6 5 8 -> povratak stožera 4 
1 2 3 4 7 6 5 8 -> lijeva strana gotova (cutoff), medijan desne strane 
1 2 3 4 6 7 5 8 -> stožer desne strane je 7 
1 2 3 4 6 5 7 8 -> skrivanje stožera 
1 2 3 4 6 5 7 8 -> stožer se „mijenja sa samim sobom“ 
1 2 3 4 6 5 7 8 -> Quicksort završava zbog cutoffa, sortiraju se 6 i 5 za kraj 
1 2 3 4 5 6 7 8 -> Quicksort završava zbog cutoffa, sortiraju se 6 i 5 za kraj",0,Sortiranje,0.07050039,MI_svi_do_2026.pdf,7.0,10.0,30.0,0.3333333333,1.0,core,6.0,queue|sorting,Zadatak 4. (10 bodova) U cjelobrojnom polju pohranjen je...,0.4827586206896552
MI|2023-11-27|1,MI,2023-11-27,1,"Potrebno je napisati rekurzivnu funkciju brojIzStringa koja će za zadani argument niz vratiti nenegativni cijeli broj 
sastavljen od znamenki na parnim mjestima u stringu niz (parna mjesta/indeksi su 0, 2, …), ali u suprotnom smjeru od 
redoslijeda znamenki u ulaznom nizu. To znači da će znamenka s najvećim parnim indeksom u ulaznom nizu biti na 
mjestu najveće dekadske jedinice, tj. na najvećem dekadskom mjestu (vidjeti primjere). 
Pretpostavite da je ulazni string ispravno zadan, tj. string nije prazan i sadrži samo znamenke dekadskog brojevnog 
sustava. Prototip funkcije je: int brojIzStringa(string niz); 
Primjeri: 
string niz 
Funkcija treba vratiti: 
""0"" 
0 (znamenka 0 je na nultom mjestu u ulaznom nizu; 0 će biti na mjestu jedinica) 
""12"" 
1 (znamenka 1 je na nultom mjestu u ulaznom nizu; 1 će biti na mjestu jedinica) 
""327"" 
73 (znamenke 3 i 7 su bile na nultom i drugom mjestu u ulaznom nizu; 7 će biti na mjestu desetica, a 3 na 
mjestu jedinica) 
""093"" 
30 (znamenke 0 i 3 su na nultom i drugom mjestu u ulaznom nizu; 3 na mjestu desetica, 0 na mjestu jedinica) 
""000"" 
0 (znamenke 0 i 0 su na nultom i drugom mjestu u ulaznom nizu; 0 će biti na mjestu desetica i jedinica) 
""12345678"" 
7531 (znamenke 1, 3, 5, 7 na parnim mjestima u ulaznom nizu; 7 na mjestu tisućica, 5 na mjestu stotica, itd.) 
Napomena: nerekurzivna rješenja neće biti priznata.",8,Rekurzija,0.11174027,MI_svi_do_2026.pdf,10.0,8.0,20.0,0.4,4.0,core,6.0,queue,Zadatak 1. (8 bodova) Potrebno je napisati rekurzivnu funkciju...,0.5263157894736842
MI|2023-11-27|2,MI,2023-11-27,2,"RJEŠENJA UPISATI NA OVOME PAPIRU 

 
Za funkcije f i g odredite, ako je moguće, vrijeme izvođenja u Θ notaciji, a ako nije moguće, odredite vrijeme 
izvođenja u O i Ω notaciji. Rješenja upišite u pravokutnike ispod zadataka. 
U primjeru a) polje A je polje prirodnih brojeva, čiji elementi mogu, ali i ne moraju biti sortirani (ne znamo unaprijed). 
a) int f(int* A, int n, int max) { // Θ(f2(m, n)) = n 
 
int rez = 0; 
 
for (int i = 0; i < n; i++) { 
 
 
if (A[i] > max) { 
 rez += f2(A[i], n - i); 
 rez *= f2(A[i], i); 
 
 
} 
 
 
else { 
 for (int j = 1; j < n; j *= 5) 
 rez += f2(A[i], n); 
 
 
} 
 
} 
 
return rez; 
} 
b) int g(int k) { // k >= 0 
 
int s; 
 
if (k <= 1) return 1; 
 
s = g(k - 1); 
 
s += g(k - 1); 
 
return s; 
} 
Rješenje a): 
Rješenje b):",9,Složenost algoritama,0.032092024,MI_svi_do_2026.pdf,10.0,8.0,20.0,0.4,2.0,core,6.0,complexity|queue,Zadatak 2. (8 bodova) – RJEŠENJA UPISATI NA OVOME PAPIRU...,0.46153846153846156
