exam_type,exam_date,task_no,task_text,pdf,page,points,time_est,efficiency,difficulty_guess,type,frequency_score,concepts,snippet,task_id,cluster_id,cluster_label
MI,2025-11-28,1,"Zadatak 1. (5 bodova)
 – RJEŠENJA UPISATI NA OVOME PAPIRU
Za funkciju f odredite, ako je moguće, vrijeme izvođenja u Θ notaciji, a ako nije moguće, odredite vrijeme izvođenja u
O i Ω notaciji. Rješenje upišite u pravokutnik pored zadataka.
int f(int n) { Rješenje:
if (n <= 0)
return 1;
else
return f(n / 4) * 2;
}",MI_svi_do_2026.pdf,1.0,5.0,10.0,0.5,2.0,detail,6.0,complexity|queue,Zadatak 1. (5 bodova) – RJEŠENJA UPISATI NA OVOME PAPIRU...,MI|2025-11-28|1,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2025-11-28,2,"Zadatak 2. (10 bodova)

Potrebno je implementirati metode Count, Reverse i RemoveLast jednostruko povezane linearne liste
implementirane pokazivačima. Lista treba biti ostvarena korištenjem predložaka (eng. templates). Metoda Count broji
i vraća ukupan broj elemenata u listi, metoda Reverse obrće redoslijed elemenata u listi (zadnji element postaje glava,
drugi predzadnji itd.), a metoda RemoveLast uklanja zadnji element liste i vraća njegovu vrijednost. Atom liste
ListElement i prototipovi funkcija zadani su odsječcima koda u nastavku.
Nije dozvoljeno koristiti ili implementirati druge metode osim zadanih.
template<typename T> template<typename T>
class ListElement{ class MyList{
public: private:
T i; ListElement<T> *head;
ListElement<T>* next; public:
}; int Count(){ // vaš kod za Count }
void Reverse(){ // vaš kod za Reverse }
T RemoveLast(){ // vaš kod za RemoveLast }
};
Primjer liste prije i nakon funkcije Reverse:
• Prije: 1 -> 2 -> 3 -> 4 -> 5
^ glava liste
• Nakon: 5 -> 4 -> 3 -> 2 -> 1
^ glava liste",MI_svi_do_2026.pdf,1.0,10.0,30.0,0.3333333333,3.0,core,6.0,linked_list|queue,Zadatak 2. (10 bodova) Potrebno je implementirati metode Count...,MI|2025-11-28|2,1,"Zadatak 2: Implementacija jednostruko povezane linearne liste
Zadatak 1: Pascalov Trokut
Zadatak 3: Sistemski stog"
MI,2025-11-28,3,"Zadatak 3. (10 bodova)

Napisati rekurzivnu funkciju koja mijenja poredak elemenata u izvorišnom redu (q) na način da nakon njenog
izvršavanja elementi budu uređeni silazno po veličini. Funkcija mora imati prototip:
template<typename T>
void reorder_by_size(Queue<T>& q);
Red q je adekvatno stvoren i inicijaliziran prije poziva funkcije, te ga se u funkciji može koristiti. Pri radu sa redom
Queue<T> dozvoljeno je koristiti samo funkcije enqueue i dequeue:
template<typename T> Primjer:
class Queue{
private: Prije poziva funkcije
// privatne članske varijable koje se ne smiju • q = 0 2 5 3 1 4
// koristiti/mijenjati ^ izlaz iz reda q
public:
(varijabla read)
bool enqueue(T val){
// Dodavanje u red. Vraća true ako je dodavanje
Nakon poziva funkcije
// uspjelo, a false inače
• q = 5 4 3 2 1 0
}
^ izlaz iz reda q
bool dequeue(T& val){
(varijabla read)
// Skidanje iz reda. Vraća true ako je skidanje
// uspjelo, a false inače
}
};
Prilikom izrade funkcije reorder_by_size, dozvoljeno je pretpostaviti da će red sadržavati barem jedan element.
Dozvoljeno je koristiti pomoćne redove ili polja.
Nije dozvoljeno korištenje ni pomoćnih funkcija niti članskih varijabli koje se koriste za implementaciju reda!",MI_svi_do_2026.pdf,2.0,10.0,30.0,0.3333333333,4.0,core,6.0,queue,Zadatak 3. (10 bodova) template<typename T> class Queue...,MI|2025-11-28|3,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2025-11-28,4,"Zadatak 4. (10 bodova)

U cjelobrojnom polju pohranjen je sljedeći niz brojeva:
5, 8, 5, 2, 7, 4, 8, 9
Ilustrirajte uzlazno sortiranje algoritmom Shell sort uz korake k = 5, 3, 1. Ispišite polje nakon svake promjene i
podcrtajte sve brojeve relevantne za sljedeći korak.",MI_svi_do_2026.pdf,2.0,10.0,30.0,0.3333333333,1.0,core,3.0,sorting,Zadatak 4. (10 bodova) U cjelobrojnom polju pohranjen je...,MI|2025-11-28|4,3,"Here is a possible label for the cluster:

""Uzlažno Sortiranje Algoritama"""
MI,2024-11-29,1,"Zadatak 1. (10 bodova)
 – RJEŠENJA UPISATI NA OVOME PAPIRU
Za funkciju f u a) dijelu zadatka te za odsječak koda u b) dijelu zadatku odredite, ako je moguće, vrijeme izvođenja u Θ
notaciji, a ako nije moguće, odredite vrijeme izvođenja u O i Ω notaciji. Rješenja upišite u pravokutnike pored zadataka.
U a) dijelu zadatka polja A i B sadrže n prirodnih brojeva (|A| = n, |B| = n). Članovi polja A i B mogu, ali i ne moraju biti
sortirani (ne znamo unaprijed).
a) int f(int A[], int B[], int n) { // n >= 1, f2(A, n) = Θ(n) Rješenje:
if (n <= 10) return n * n;
else {
int z = 0;
for (int i = 0; i < n / 2; i++) {
if (A[i] == B[i])
break;
else
z += f2(A, n - i);
}
return z;
}
}
b) Rješenje:
double A[N][N];
for (int i = 1; i <= N; i++) {
for (int j = 1; j <= N; j++)
A[i - 1][j - 1] = g2(i, j); // g2(i, j) = Θ(max(i, j))
}",MI_svi_do_2026.pdf,6.0,10.0,30.0,0.3333333333,2.0,core,6.0,complexity|queue,Zadatak 1. (10 bodova) – RJEŠENJA UPISATI NA OVOME PAPIRU...,MI|2024-11-29|1,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2024-11-29,2,"Zadatak 2. (10 bodova)

Potrebno je implementirati metodu AddUnique, Contains i Remove jednostruko povezane linearne liste
implementirane pokazivačima. Lista treba biti ostvarena korištenjem predložaka (eng. templates). Metoda AddUnique
dodaje novi element na kraj liste samo ako element već ne postoji, metoda Remove uklanja prvi element liste sa
zadanom vrijednosti, a metoda Contains provjerava nalazi li se određeni element u listi. Atom liste ListElement i
prototipovi funkcija zadani su odsječcima koda u nastavku.
template<typename T> template<typename T>
class ListElement{ class MyList{
public: private:
T i; ListElement<T> *head;
ListElement<T>* next; public:
}; void AddUnique(T val){ //vaš kod za AddUnique }
void Remove(T val){ // vaš kod za Remove }
bool Contains(T val){ // vaš kod za Contains }
};",MI_svi_do_2026.pdf,6.0,10.0,30.0,0.3333333333,3.0,core,6.0,linked_list|queue,Zadatak 2. (10 bodova) Potrebno je implementirati metodu AddUnique...,MI|2024-11-29|2,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2024-11-29,3,"Zadatak 3. (10 bodova)

Napisati rekurzivnu funkciju koja u zadanom izvorišnom stogu (s) uklanja sve višestruke elemente koji se pojavljuju
zaredom na način da ih se zamjenjuje samo jednom pojavom tog istog elementa. Funkcija mora imati prototip:
template<typename T>
T remove_multiple(Stack<T>& s);
Stog s je adekvatno stvoren i inicijaliziran prije poziva funkcije, te ga se u funkciji može koristiti. Pri radu sa stogom
Stack<T> dozvoljeno je koristiti samo funkcije push i pop:
template<typename T> Primjer 1:
class Stack{ • s = 0,1,1,4,3,3
private: ^ vrh stoga s
// privatne članske varijable koje se ne smiju • s= 0,1,4,3
// koristiti/mijenjati
^ vrh stoga s
public:
Primjer 2:
bool push(T val){
• s = 0,1,1,4,1,1
// Dodavanje na stog.Vraća true ako je dodavanje
^ vrh stoga s
// uspjelo, a false inače
• s = 0,1,4,1
}
^ vrh stoga s
bool pop(T& val){
// Skidanje sa stoga. Vraća true ako je skidanje
// uspjelo, a false inače
}
};
Prilikom izrade funkcije remove_multiple, dozvoljeno je pretpostaviti da će stog sadržavati barem jedan element.
Nije dozvoljeno je korištenje pomoćnih funkcija! Korištenje članskih varijabli koje se koriste za implementaciju stoga
podataka nije dozvoljeno.",MI_svi_do_2026.pdf,7.0,10.0,30.0,0.3333333333,4.0,core,6.0,queue|stack,Zadatak 3. (10 bodova) Napisati rekurzivnu funkciju...,MI|2024-11-29|3,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2024-11-29,4,"Zadatak 4. (10 bodova)

U cjelobrojnom polju pohranjen je sljedeći niz brojeva:
8, 6, 5, 4, 7, 2, 3, 1
Ilustrirajte uzlazno sortiranje algoritmom quicksort. Stožer se odabire metodom aproksimacije medijana temeljem
prvog, srednjeg i zadnjeg člana. Zadan je cutoff = 3 nakon čega se sortira bez navođenja koraka. Potrebno je prikazati
sadržaj polja nakon svake promjene.",MI_svi_do_2026.pdf,7.0,10.0,30.0,0.3333333333,1.0,core,6.0,queue|sorting,Zadatak 4. (10 bodova) U cjelobrojnom polju pohranjen je...,MI|2024-11-29|4,3,"Here is a possible label for the cluster:

""Uzlažno Sortiranje Algoritama"""
MI,2023-11-27,1,"Zadatak 1. (8 bodova)

Potrebno je napisati rekurzivnu funkciju brojIzStringa koja će za zadani argument niz vratiti nenegativni cijeli broj
sastavljen od znamenki na parnim mjestima u stringu niz (parna mjesta/indeksi su 0, 2, …), ali u suprotnom smjeru od
redoslijeda znamenki u ulaznom nizu. To znači da će znamenka s najvećim parnim indeksom u ulaznom nizu biti na
mjestu najveće dekadske jedinice, tj. na najvećem dekadskom mjestu (vidjeti primjere).
Pretpostavite da je ulazni string ispravno zadan, tj. string nije prazan i sadrži samo znamenke dekadskog brojevnog
sustava. Prototip funkcije je: int brojIzStringa(string niz);
Primjeri:
string niz Funkcija treba vratiti:
""0"" 0 (znamenka 0 je na nultom mjestu u ulaznom nizu; 0 će biti na mjestu jedinica)
""12"" 1 (znamenka 1 je na nultom mjestu u ulaznom nizu; 1 će biti na mjestu jedinica)
""327"" 73 (znamenke 3 i 7 su bile na nultom i drugom mjestu u ulaznom nizu; 7 će biti na mjestu desetica, a 3 na
mjestu jedinica)
""093"" 30 (znamenke 0 i 3 su na nultom i drugom mjestu u ulaznom nizu; 3 na mjestu desetica, 0 na mjestu jedinica)
""000"" 0 (znamenke 0 i 0 su na nultom i drugom mjestu u ulaznom nizu; 0 će biti na mjestu desetica i jedinica)
""12345678"" 7531 (znamenke 1, 3, 5, 7 na parnim mjestima u ulaznom nizu; 7 na mjestu tisućica, 5 na mjestu stotica, itd.)
Napomena: nerekurzivna rješenja neće biti priznata.",MI_svi_do_2026.pdf,10.0,8.0,20.0,0.4,4.0,core,6.0,queue,Zadatak 1. (8 bodova) Potrebno je napisati rekurzivnu funkciju...,MI|2023-11-27|1,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2023-11-27,2,"Zadatak 2. (8 bodova)
 – RJEŠENJA UPISATI NA OVOME PAPIRU
Za funkcije f i g odredite, ako je moguće, vrijeme izvođenja u Θ notaciji, a ako nije moguće, odredite vrijeme
izvođenja u O i Ω notaciji. Rješenja upišite u pravokutnike ispod zadataka.
U primjeru a) polje A je polje prirodnih brojeva, čiji elementi mogu, ali i ne moraju biti sortirani (ne znamo unaprijed).
a) int f(int* A, int n, int max) { // Θ(f2(m, n)) = n b) int g(int k) { // k >= 0
int rez = 0; int s;
for (int i = 0; i < n; i++) { if (k <= 1) return 1;
if (A[i] > max) { s = g(k - 1);
rez += f2(A[i], n - i); s += g(k - 1);
rez *= f2(A[i], i); return s;
} }
else {
for (int j = 1; j < n; j *= 5)
rez += f2(A[i], n);
}
}
return rez;
}
Rješenje a): Rješenje b):",MI_svi_do_2026.pdf,10.0,8.0,20.0,0.4,2.0,core,6.0,complexity|queue,Zadatak 2. (8 bodova) – RJEŠENJA UPISATI NA OVOME PAPIRU...,MI|2023-11-27|2,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
